CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Cape Coral-Fort Myers, FL",15980,25/05/2022,34.0,Good,Ozone,12-071-0005,2
"Somerset, KY",43700,3/03/2022,37.0,Good,PM2.5,21-199-0003,1
"Lawton, OK",30020,10/06/2022,51.0,Moderate,Ozone,40-031-0651,1
"Winston-Salem, NC",49180,24/04/2022,48.0,Good,Ozone,37-067-0022,3
"Davenport-Moline-Rock Island, IA-IL",19340,25/03/2022,36.0,Good,Ozone,19-163-0014,3
"Augusta-Waterville, ME",12300,24/07/2022,58.0,Moderate,Ozone,23-011-2001,1
"Kinston, NC",28820,2/09/2022,38.0,Good,Ozone,37-107-0004,1
"Morehead City, NC",33980,15/03/2022,42.0,Good,Ozone,37-031-9991,1
"Knoxville, TN",28940,24/06/2022,80.0,Moderate,Ozone,47-001-0101,9
"Pensacola-Ferry Pass-Brent, FL",37860,9/06/2022,33.0,Good,Ozone,12-113-0015,3
"Iowa City, IA",26980,19/02/2022,20.0,Good,PM2.5,19-103-2001,1
"Pensacola-Ferry Pass-Brent, FL",37860,25/03/2022,64.0,Moderate,Ozone,12-033-0018,3
"Fallon, NV",21980,8/05/2022,46.0,Good,Ozone,32-001-0002,1
"Cedar Rapids, IA",16300,4/06/2022,42.0,Good,Ozone,19-113-0040,2
"Pensacola-Ferry Pass-Brent, FL",37860,10/05/2022,46.0,Good,PM2.5,12-033-0004,3
"Norwich-New London, CT",35980,21/04/2022,39.0,Good,,09-011-0124,1
"Hilo, HI",25900,6/06/2022,18.0,Good,PM2.5,15-001-2020,7
"Lafayette, LA",29180,18/02/2022,36.0,Good,Ozone,22-099-0001,2
"Jacksonville, FL",27260,5/02/2022,,Good,Ozone,12-031-0100,7
"Platteville, WI",38420,13/04/2022,29.0,Good,PM2.5,55-043-0009,1
"Cape Coral-Fort Myers, FL",15980,8/04/2022,49.0,Good,Ozone,12-071-2002,2
"Moses Lake, WA",34180,30/05/2022,8.0,Good,PM2.5,53-025-1002,2
"Lake Havasu City-Kingman, AZ",29420,4/05/2022,8.0,Good,PM10,04-015-1003,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,15/07/2022,44.0,Good,Ozone,36-063-1006,5
"Youngstown-Warren-Boardman, OH-PA",49660,29/04/2022,47.0,Good,Ozone,42-085-9991,7
"Pocatello, ID",38540,23/02/2022,,Good,PM2.5,16-005-0015,1
"Gardnerville Ranchos, NV",23820,11/05/2022,0.0,Good,PM2.5,32-005-0007,1
"Cambridge, MD",15700,8/04/2022,44.0,Good,Ozone,24-019-9991,2
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,3/06/2022,44.0,Good,Ozone,27-139-0505,17
"Omaha-Council Bluffs, NE-IA",36540,25/03/2022,38.0,Good,Ozone,19-085-0007,6
"Sacramento--Roseville--Arden-Arcade, CA",40900,23/03/2022,49.0,Good,Ozone,06-061-2003,11
"Muscatine, IA",34700,14/03/2022,33.0,Good,PM2.5,19-139-0019,2
"Chattanooga, TN-GA",16860,5/06/2022,54.0,Moderate,Ozone,47-065-4002,4
"Fort Wayne, IN",23060,21/07/2022,63.0,Moderate,,18-183-0003,2
"Vallejo-Fairfield, CA",46700,25/07/2022,32.0,Good,Ozone,06-095-3003,3
"Laconia, NH",29060,16/06/2022,33.0,Good,Ozone,33-001-2004,1
"Price, UT",39220,12/04/2022,43.0,Good,Ozone,49-007-1003,1
"Casper, WY",16220,28/01/2022,44.0,Good,Ozone,56-025-0100,2
"Ellensburg, WA",21260,16/05/2022,6.0,Good,PM2.5,53-037-0002,1
"Greensboro-High Point, NC",24660,23/04/2022,,Moderate,PM2.5,37-081-0013,2
"Morehead City, NC",33980,16/02/2022,41.0,Good,Ozone,37-031-9991,1
"Omaha-Council Bluffs, NE-IA",36540,25/02/2022,46.0,Good,PM2.5,31-055-0052,6
"Michigan City-La Porte, IN",33140,19/02/2022,35.0,Good,Ozone,18-091-0010,3
"Helena, MT",25740,25/07/2022,44.0,Good,Ozone,30-049-0004,2
"Bloomington, IL",14010,1/04/2022,42.0,Good,Ozone,17-113-2003,1
"Morgantown, WV",34060,15/04/2022,44.0,Good,Ozone,54-061-0003,1
"Wabash, IN",47340,26/06/2022,43.0,Good,Ozone,18-169-9991,1
"Laconia, NH",29060,2/05/2022,42.0,Good,Ozone,33-001-2004,1
"Boston-Cambridge-Newton, MA-NH",14460,21/05/2022,55.0,Moderate,PM2.5,25-023-0005,13
"Lewiston, ID-WA",30300,17/05/2022,24.0,Good,,53-003-0004,3
"Crescent City, CA",18860,17/06/2022,23.0,Good,PM2.5,06-015-0007,1
"Gainesville, GA",23580,"2022, Jun 29",38.0,Good,PM2.5,13-139-0003,1
"Daphne-Fairhope-Foley, AL",19300,7/05/2022,58.0,Moderate,Ozone,01-003-0010,1
"Somerset, PA",43740,9/07/2022,32.0,Good,Ozone,42-111-9991,1
"McAlester, OK",32540,21/02/2022,33.0,Good,PM2.5,40-121-0415,1
"Casper, WY",16220,28/04/2022,45.0,Good,Ozone,56-025-0100,2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,5/05/2022,49.0,Good,Ozone,45-051-0008,1
"Green Bay, WI",24580,22/08/2022,33.0,Good,PM2.5,55-009-0005,3
